id,title,revenue,budget,genres
211672,Minions,1156730962,74000000,"Family, Animation, Adventure, Comedy"
36557,Casino Royale,599045960,150000000,"Adventure, Action, Thriller"
18,The Fifth Element,263920180,90000000,"Adventure, Fantasy, Action, Thriller, Science Fiction"
12405,Slumdog Millionaire,378410542,15000000,"Drama, Romance"
62211,Monsters University,743559607,200000000,"Animation, Family"
51876,Limitless,161849455,27000000,"Thriller, Mystery, Science Fiction"
206647,Spectre,880674609,245000000,"Action, Adventure, Thriller"
84892,The Perks of Being a Wallflower,33400000,13000000,Drama
1417,Pan's Labyrinth,83258226,19000000,"Fantasy, Drama, War"
8844,Jumanji,262821940,65000000,"Adventure, Fantasy, Family"
76600,Avatar: The Way of Water,2320250281,460000000,"Science Fiction, Adventure, Action"
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",745013115,180000000,"Adventure, Family, Fantasy"
2080,X-Men Origins: Wolverine,373062864,150000000,"Adventure, Action, Thriller, Science Fiction"
1359,American Psycho,34266564,7000000,"Thriller, Drama, Crime"
45243,The Hangover Part II,586764305,80000000,Comedy
58574,Sherlock Holmes: A Game of Shadows,334615000,125000000,"Adventure, Action, Crime, Mystery"
337339,The Fate of the Furious,1236005118,250000000,"Action, Crime, Thriller"
458156,John Wick: Chapter 3 - Parabellum,326709727,55000000,"Action, Thriller, Crime"
293167,Kong: Skull Island,566652812,185000000,"Action, Adventure, Fantasy"
196,Back to the Future Part III,244527583,40000000,"Adventure, Comedy, Science Fiction"
41154,Men in Black 3,624026776,225000000,"Action, Comedy, Science Fiction"
294254,Maze Runner: The Scorch Trials,312296056,61000000,"Science Fiction, Action, Thriller, Adventure"
600,Full Metal Jacket,46357676,30000000,"Drama, War"
495764,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),205372791,75000000,"Action, Crime"
510,One Flew Over the Cuckoo's Nest,108981275,3000000,Drama
64688,21 Jump Street,201585328,42000000,"Action, Comedy, Crime"
59967,Looper,47042000,30000000,"Action, Thriller, Science Fiction"
629,The Usual Suspects,23341568,6000000,"Drama, Crime, Thriller"
1949,Zodiac,84785914,65000000,"Crime, Drama, Mystery, Thriller"
787,Mr. & Mrs. Smith,487287646,110000000,"Action, Comedy, Drama, Thriller"
343668,Kingsman: The Golden Circle,410902662,104000000,"Action, Adventure, Comedy"
578,Jaws,470653000,7000000,"Horror, Thriller, Adventure"
1593,Night at the Museum,574480841,110000000,"Action, Adventure, Comedy, Family, Fantasy"
262500,Insurgent,297002527,110000000,"Action, Adventure, Science Fiction, Thriller"
453,A Beautiful Mind,316800000,58000000,"Drama, Romance"
508442,Soul,136384442,150000000,"Animation, Family, Comedy, Fantasy, Drama"
420817,Aladdin,1054304000,183000000,"Adventure, Fantasy, Romance, Family"
438631,Dune,402027830,165000000,"Science Fiction, Adventure"
36658,X2,407711549,110000000,"Adventure, Action, Science Fiction"
283366,Miss Peregrine's Home for Peculiar Children,296482446,110000000,"Fantasy, Adventure"
